idioma_web,en,es,it,de
titulo,Rent a Car Mallorca,Rent a Car Mallorca,,
contacto_reservas,Contact reservations,Contacto reservas,,
idiomas,Idiom,Idioma,,
eslogan,Get to know Mallorca…,Conozca Mallorca...,,
titulo_form,Car rental,Alquiler de Coches,,
error_formulario1,Sorry for the inconvenience. Thanks.,Disculpe las molestias. Gracias.,,
error_formulario2,We regret to inform you that we do not have any vehicle for the requested dates. Sorry for the inconvenience. Thanks.,Sentimos informarle que no disponemos de ningún vehículo para las fechas solicitadas. Disculpe las molestias. Gracias.,,
error_formulario3,,,,
error_formulario4,,,,
recogida,Pickup:,Recogida:,,
hora,At :,Hora :,,
devolucion,Return :,Devolucion :,,
conductor_experiencia,Driver is 23 years old or older,Conductor tiene 23 años o mas,,
edad_conductor,Driver's age,Edad del conductor,,
ver_precios,View prices,Ver precios,,
informacion,Information,Información,,
copyright,@lvaro Ruiz WEB ,@lvaro Ruiz WEB ,,
idioma_italiano,Italiano,Italiano,,
idioma_espanol,Español,Español,,
idioma_aleman,Deutsch,Deutsch,,
idioma_ingles,English,English,,
idioma_frances,Français,Français,,
bandera_italiana,bandiera tedesca,bandiera tedesca,,
bandera_espanola,bandera española,bandera española,,
bandera_alemana,deutsche flagge,deutsche flagge,,
bandera_inglesa,english flag,english flag,,
bandera_francesa,drapeau français,drapeau français,,
